
04/04/2022 11:58:28: ExecuteNonQuery: la proprietà Connection non è stata inizializzata.
04/04/2022 11:58:28: ESEGUITO, NESSUN MESSAGGIO
13/06/2023 14:12:28: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT02131270049_0145U.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT02131270049_0145U.xml.pdf'><b>Apri</b></a> 
15/06/2023 10:41:44: ESEGUITO, NESSUN MESSAGGIO
15/06/2023 10:41:48: ESEGUITO, NESSUN MESSAGGIO
15/06/2023 10:41:53: ESEGUITO, NESSUN MESSAGGIO
15/06/2023 10:41:56: ESEGUITO, NESSUN MESSAGGIO
15/06/2023 10:41:59: Ricezione <b>XML fatture-fornitore</b>.: Non risultano fatture ricevute per cui sia assente il contenuto XML.
15/06/2023 10:42:05: ESEGUITO, NESSUN MESSAGGIO
15/06/2023 10:42:17: ESEGUITO, NESSUN MESSAGGIO
15/06/2023 10:45:37: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT07334940157_826dK.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT07334940157_826dK.xml.pdf'><b>Apri</b></a> 
15/06/2023 13:24:57: ESEGUITO, NESSUN MESSAGGIO
27/06/2023 14:54:24: ESEGUITO, NESSUN MESSAGGIO
27/06/2023 14:54:38: ESEGUITO, NESSUN MESSAGGIO
27/06/2023 14:54:44: Ricezione <b>XML fatture-fornitore</b>.: Non risultano fatture ricevute per cui sia assente il contenuto XML.
27/06/2023 14:54:56: ESEGUITO, NESSUN MESSAGGIO
27/06/2023 14:55:43: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT02350220048_00C61.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT02350220048_00C61.xml.pdf'><b>Apri</b></a> 
27/06/2023 14:55:57: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT02350840043_6OS36.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT02350840043_6OS36.xml.pdf'><b>Apri</b></a> 
27/06/2023 14:56:11: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT02355260981_LokGN.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT02355260981_LokGN.xml.pdf'><b>Apri</b></a> 
